Kp,OvershootPercent,SettlingTime2Percent,Stability
50,61.6,N/A,Stable
52.0,61.6,14.9,Stable
54.0,61.7,14.9,Stable
56.0,61.7,14.8,Stable
58.0,61.7,14.8,Stable
60.0,61.8,N/A,Stable
62.0,61.8,N/A,Stable
64.0,61.9,15.0,Stable
66.0,61.9,14.9,Stable
68.0,61.9,14.9,Stable
70.0,62.0,14.9,Stable
72.0,62.0,14.9,Stable
74.0,62.0,14.8,Stable
76.0,62.1,14.8,Stable
78.0,62.1,14.8,Stable
80.0,62.1,14.8,Stable
82.0,62.2,14.8,Stable
84.0,62.2,14.9,Stable
86.0,62.3,14.8,Stable
88.0,62.3,15.0,Stable
90.0,62.3,N/A,Stable
92.0,62.4,14.9,Stable
94.0,62.4,14.8,Stable
96.0,62.4,14.6,Stable
98.0,62.5,15.0,Stable
100.0,62.5,14.8,Stable

Ku,Not found
Pu,Not found
Troubleshooting,Increase kp_max or decrease kp_step
