Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
0.5,5,1.45098,3.76259,3.63806,1.5,5.13806,11.664,0.997886,-9.02386,7.3094,2.65705,4.89072,6.60242,1.5,8.10242,15.1612,1.25199,-9.81079,3,-0.549018,3.76259,3.63806,1.5,5.13806,11.664,0.997886,-9.02386,3.8453,-0.500489,4.57933,5.6834,1.5,7.1834,14.1959,1.18294,-9.69547,7,3.45098,3.76259,3.63806,1.5,5.13806,11.664,0.997886,-9.02386,3.8453,-0.500489,4.57933,5.6834,1.5,7.1834,14.1959,1.18294,-9.69547
0.55,5,1.67051,3.54902,2.67356,1.5,4.17356,11.002,1.06887,-9.39726,7.3094,2.90725,4.65235,5.27932,1.5,6.77932,14.4223,1.34504,-10.488,3,-0.32949,3.54902,2.67356,1.5,4.17356,11.002,1.06887,-9.39726,3.8453,-0.257,4.34579,4.46587,1.5,5.96587,13.4719,1.26986,-10.2759,7,3.67051,3.54902,2.67356,1.5,4.17356,11.002,1.06887,-9.39726,3.8453,-0.257,4.34579,4.46587,1.5,5.96587,13.4719,1.26986,-10.2759
0.6,5,1.89373,3.32949,1.79765,1.5,3.29765,10.3214,1.13546,-9.65923,7.3094,3.16426,4.40215,4.07067,0.75,4.82067,13.6467,1.43308,-11.0091,3,-0.106273,3.32949,1.79765,1.5,3.29765,10.3214,1.13546,-9.65923,3.8453,-0.00648402,4.1023,3.3555,1.5,4.8555,12.7171,1.35191,-10.7135,7,3.89373,3.32949,1.79765,1.5,3.29765,10.3214,1.13546,-9.65923,3.8453,-0.00648402,4.1023,3.3555,1.5,4.8555,12.7171,1.35191,-10.7135
0.65,5,2.11862,3.10627,1.0055,1.5,2.5055,9.62945,1.19758,-9.82153,7.3094,3.42547,4.14514,3.05735,0.75,3.80735,12.8499,1.51598,-11.3086,3,0.118618,3.10627,1.0055,1.5,2.5055,9.62945,1.19758,-9.82153,3.8453,0.246608,3.85178,2.34678,0.75,3.09678,11.9405,1.42894,-11.0227,7,4.11862,3.10627,1.0055,1.5,2.5055,9.62945,1.19758,-9.82153,3.8453,0.246608,3.85178,2.34678,0.75,3.09678,11.9405,1.42894,-11.0227
0.7,5,2.3434,2.88138,0.292303,1.5,1.7923,8.93229,1.25521,-9.89519,7.3094,3.68852,3.88394,2.14104,0.75,2.89104,12.0402,1.59366,-11.4928,3,0.343402,2.88138,0.292303,1.5,1.7923,8.93229,1.25521,-9.89519,3.8453,0.500202,3.59869,1.52079,0.75,2.27079,11.1559,1.50091,-11.1361,7,4.3434,2.88138,0.292303,1.5,1.7923,8.93229,1.25521,-9.89519,3.8453,0.500202,3.59869,1.52079,0.75,2.27079,11.1559,1.50091,-11.1361
0.75,5,2.56652,2.6566,-0.346702,1.5,1.1533,8.23545,1.30834,-9.8905,7.3094,3.95139,3.62088,1.31618,0.75,2.06618,11.2247,1.66608,-11.5746,3,0.566516,2.6566,-0.346702,1.5,1.1533,8.23545,1.30834,-9.8905,3.8453,0.752472,3.3451,0.77948,0.75,1.52948,10.3698,1.56782,-11.1581,7,4.56652,2.6566,-0.346702,1.5,1.1533,8.23545,1.30834,-9.8905,3.8453,0.752472,3.3451,0.77948,0.75,1.52948,10.3698,1.56782,-11.1581
0.8,5,2.7866,2.43348,-0.916201,1.5,0.583799,7.5438,1.35701,-9.81701,7.3094,4.21224,3.35802,0.577231,0.75,1.32723,10.4098,1.73324,-11.5659,3,0.786598,2.43348,-0.916201,1.5,0.583799,7.5438,1.35701,-9.81701,3.8453,1.00182,3.09283,0.117587,0.75,0.867587,9.58777,1.62967,-11.0999,7,4.7866,2.43348,-0.916201,1.5,0.583799,7.5438,1.35701,-9.81701,3.8453,1.00182,3.09283,0.117587,0.75,0.867587,9.58777,1.62967,-11.0999
0.85,5,3.00247,2.2134,-1.42078,1.5,0.0792194,6.86155,1.40128,-9.68361,7.3094,4.46952,3.09716,-0.0812344,0.75,0.668766,9.6012,1.79518,-11.4776,3,1.00247,2.2134,-1.42078,1.5,0.0792194,6.86155,1.40128,-9.68361,3.8453,1.24871,2.84348,-0.470056,1.5,1.02994,8.81478,1.68654,-10.9714,7,5.00247,2.2134,-1.42078,1.5,0.0792194,6.86155,1.40128,-9.68361,3.8453,1.24871,2.84348,-0.470056,1.5,1.02994,8.81478,1.68654,-10.9714
0.9,5,3.21312,1.99753,-1.86491,1.49444,-0.370464,6.19234,1.44123,-9.49847,7.3094,4.72186,2.83988,-0.664534,0.75,0.0854662,8.80364,1.85198,-11.3202,3,1.21312,1.99753,-1.86491,1.49444,-0.370464,6.19234,1.44123,-9.49847,3.8453,1.4917,2.59659,-1.07507,1.5,0.424929,8.04944,1.73847,-10.863,7,5.21312,1.99753,-1.86491,1.49444,-0.370464,6.19234,1.44123,-9.49847,3.8453,1.4917,2.59659,-1.07507,1.5,0.424929,8.04944,1.73847,-10.863
0.95,5,3.41665,1.78688,-2.25228,1.06665,-1.18562,5.53932,1.47697,-9.26857,7.3094,4.9681,2.58754,-1.17785,0.75,-0.427848,8.02139,1.90373,-11.103,3,1.41665,1.78688,-2.25228,1.06665,-1.18562,5.53932,1.47697,-9.26857,3.8453,1.72956,2.3536,-1.60981,1.5,-0.109814,7.29617,1.78555,-10.6915,7,5.41665,1.78688,-2.25228,1.06665,-1.18562,5.53932,1.47697,-9.26857,3.8453,1.72956,2.3536,-1.60981,1.5,-0.109814,7.29617,1.78555,-10.6915
