Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.0245,5,10,0,10,9.9,0.495,-0,7.3094,1.1745,6.1594,10,0,10,12.1956,0.609781,-0,3,-1.9755,5,10,0,10,9.9,0.495,-0,3.8453,-1.9755,5.8453,10,0,10,11.5737,0.578685,-0,7,2.0245,5,10,0,10,9.9,0.495,-0,3.8453,-1.9755,5.8453,10,0,10,11.5737,0.578685,-0,0,0
0.05,5,0.07301,4.9755,10,1.26119,10,9.85149,0.987575,-0.640332,7.3094,1.22301,6.1349,10,1.96419,10,12.1471,1.21714,-0.640332,3,-1.92699,4.9755,10,1.26119,10,9.85149,0.987575,-0.640332,3.8453,-1.92699,5.8208,10,1.50382,10,11.5252,1.15494,-0.640332,7,2.07301,4.9755,10,1.26119,10,9.85149,0.987575,-0.640332,3.8453,-1.92699,5.8208,10,1.50382,10,11.5252,1.15494,-0.640332,0,0
0.1,5,0.14505,4.92699,9.96293,1.46901,10,9.75544,1.47535,-1.26786,7.3094,1.29505,6.08639,10,2.25851,10,12.0511,1.81969,-1.26786,3,-1.85495,4.92699,9.96293,1.46901,10,9.75544,1.47535,-1.26786,3.8453,-1.85495,5.77229,10,1.87881,10,11.4291,1.7264,-1.26786,7,2.14505,4.92699,9.96293,1.46901,10,9.75544,1.47535,-1.26786,3.8453,-1.85495,5.77229,10,1.87881,10,11.4291,1.7264,-1.26786,0,0
0.15,5,0.240149,4.85495,9.68596,1.5,10,9.6128,1.95599,-1.88283,7.3094,1.39015,6.01435,10,2.00395,10,11.9084,2.41511,-1.88283,3,-1.75985,4.85495,9.68596,1.5,10,9.6128,1.95599,-1.88283,3.8453,-1.75985,5.70025,10,1.74612,10,11.2865,2.29073,-1.88283,7,2.24015,4.85495,9.68596,1.5,10,9.6128,1.95599,-1.88283,3.8453,-1.75985,5.70025,10,1.74612,10,11.2865,2.29073,-1.88283,0,0
0.2,5,0.357846,4.75985,9.36621,1.5,10,9.42451,2.42721,-2.48551,7.3094,1.50785,5.91925,10,1.84938,10,11.7201,3.00112,-2.48551,3,-1.64215,4.75985,9.36621,1.5,10,9.42451,2.42721,-2.48551,3.8453,-1.64215,5.60515,10,1.58763,10,11.0982,2.84564,-2.48551,7,2.35785,4.75985,9.36621,1.5,10,9.42451,2.42721,-2.48551,3.8453,-1.64215,5.60515,10,1.58763,10,11.0982,2.84564,-2.48551,0,0
0.25,5,0.497689,4.64215,9.00212,1.5,10,9.19147,2.88679,-3.07613,7.3094,1.64769,5.80156,10,1.7513,10,11.4871,3.57547,-3.07613,3,-1.50231,4.64215,9.00212,1.5,10,9.19147,2.88679,-3.07613,3.8453,-1.50231,5.48745,10,1.5,10,10.8652,3.38889,-3.07613,7,2.49769,4.64215,9.00212,1.5,10,9.19147,2.88679,-3.07613,3.8453,-1.50231,5.48745,10,1.5,10,10.8652,3.38889,-3.07613,0,0
0.3,5,0.659235,4.50231,8.59215,1.5,10,8.91458,3.33251,-3.65494,7.3094,1.80924,5.66171,10,1.63476,10,11.2102,4.13598,-3.65494,3,-1.34076,4.50231,8.59215,1.5,10,8.91458,3.33251,-3.65494,3.8453,-1.34076,5.34761,10,1.5,10,10.5883,3.91831,-3.65494,7,2.65924,4.50231,8.59215,1.5,10,8.91458,3.33251,-3.65494,3.8453,-1.34076,5.34761,10,1.5,10,10.5883,3.91831,-3.65494,0,0
0.35,5,0.841156,4.34076,8.13479,1.5,9.63479,8.59471,3.76225,-4.22217,7.3094,1.99205,5.50017,10,1.50014,10,10.8903,4.6805,-4.22217,3,-1.15884,4.34076,8.13479,1.5,9.63479,8.59471,3.76225,-4.22217,3.8453,-1.15795,5.18606,10,1.5,10,10.2684,4.43173,-4.22217,7,2.84116,4.34076,8.13479,1.5,9.63479,8.59471,3.76225,-4.22217,3.8453,-1.15795,5.18606,10,1.5,10,10.2684,4.43173,-4.22217,0,0
0.4,5,1.04186,4.15884,7.65381,1.5,9.15381,8.23451,4.17398,-4.75468,7.3094,2.19571,5.31735,10,1.5,10,10.5284,5.20691,-4.77806,3,-0.958135,4.15884,7.65381,1.5,9.15381,8.23451,4.17398,-4.75468,3.8453,-0.954291,5.00325,10,1.5,10,9.90643,4.92705,-4.77806,7,3.04186,4.15884,7.65381,1.5,9.15381,8.23451,4.17398,-4.75468,3.8453,-0.954291,5.00325,10,1.5,10,9.90643,4.92705,-4.77806,0,0
0.45,5,1.25977,3.95814,7.15721,1.5,8.65721,7.83711,4.56583,-5.24573,7.3094,2.4198,5.11369,10,1.5,10,10.1251,5.71317,-5.32283,3,-0.74023,3.95814,7.15721,1.5,8.65721,7.83711,4.56583,-5.24573,3.8453,-0.730205,4.79959,9.58256,1.5,10,9.50319,5.40221,-5.32283,7,3.25977,3.95814,7.15721,1.5,8.65721,7.83711,4.56583,-5.24573,3.8453,-0.730205,4.79959,9.58256,1.5,10,9.50319,5.40221,-5.32283,0,0
