Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
0.5,5,1.08033,4.0989,1.82491,1.5,3.32491,12.7066,-3.44567,-7.43602,7.3094,2.25281,5.24238,2.16431,1.5,3.66431,16.2514,-6.40575,-7.6813,3,-0.919575,4.09885,1.82344,1.5,3.32344,12.7064,-3.44567,-7.43732,3.8453,-0.906819,4.9353,2.1177,1.5,3.6177,15.2994,-5.60369,-7.57803,7,3.08043,4.09885,1.82344,1.5,3.32344,12.7064,-3.44567,-7.43732,3.8453,-0.906819,4.9353,2.1177,1.5,3.6177,15.2994,-5.60369,-7.57803
0.55,5,1.26711,3.91967,0.897727,1.5,2.39773,12.151,-3.36728,-7.88599,7.3094,2.44699,5.05659,1.19645,1.5,2.69645,15.6754,-6.30462,-8.17437,3,-0.732727,3.91957,0.895388,1.5,2.39539,12.1507,-3.36728,-7.88801,3.8453,-0.715402,4.75212,1.16302,1.5,2.66302,14.7316,-5.50865,-8.0599,7,3.26727,3.91957,0.895388,1.5,2.39539,12.1507,-3.36728,-7.88801,3.8453,-0.715402,4.75212,1.16302,1.5,2.66302,14.7316,-5.50865,-8.0599
0.6,5,1.45893,3.73289,0.0608701,1.5,1.56087,11.572,-3.29262,-8.21847,7.3094,2.64695,4.86241,0.321864,1.5,1.82186,15.0735,-6.20737,-8.54423,3,-0.540822,3.73273,0.0575386,1.5,1.55754,11.5715,-3.29263,-8.22129,3.8453,-0.518322,4.5607,0.298392,1.5,1.79839,14.1382,-5.41743,-8.42235,7,3.45918,3.73273,0.0575386,1.5,1.55754,11.5715,-3.29263,-8.22129,3.8453,-0.518322,4.5607,0.298392,1.5,1.79839,14.1382,-5.41743,-8.42235
0.65,5,1.65349,3.54107,-0.6847,1.5,0.8153,10.9773,-3.2218,-8.44021,7.3094,2.85024,4.66246,-0.45842,1.5,1.04158,14.4536,-6.11412,-8.79791,3,-0.346167,3.54082,-0.689092,1.5,0.810908,10.9765,-3.22181,-8.44383,3.8453,-0.317949,4.36362,-0.474476,1.5,1.02552,13.5272,-5.33016,-8.67154,7,3.65383,3.54082,-0.689092,1.5,0.810908,10.9765,-3.22181,-8.44383,3.8453,-0.317949,4.36362,-0.474476,1.5,1.02552,13.5272,-5.33016,-8.67154
0.7,5,1.84871,3.34651,-1.34112,1.5,0.158882,10.3742,-3.15487,-8.56044,7.3094,3.05471,4.45916,-1.14656,1.5,0.353436,13.8234,-6.02494,-8.94502,3,-0.15083,3.34617,-1.34658,1.5,0.153415,10.3731,-3.15489,-8.56482,3.8453,-0.116419,4.16325,-1.1572,1.5,0.342799,12.9061,-5.2469,-8.81638,7,3.84917,3.34617,-1.34658,1.5,0.153415,10.3731,-3.15489,-8.56482,3.8453,-0.116419,4.16325,-1.1572,1.5,0.342799,12.9061,-5.2469,-8.81638
0.75,5,2.04279,3.15129,-1.91261,1.5,-0.412609,9.769,-3.09184,-8.58977,7.3094,3.25844,4.25469,-1.7469,1.5,-0.246896,13.1895,-5.93985,-8.99659,3,0.0433738,3.15083,-1.91912,1.5,-0.419118,9.76757,-3.09187,-8.59482,3.8453,0.0843883,3.96172,-1.75366,1.5,-0.253659,12.2813,-5.16766,-8.86732,7,4.04337,3.15083,-1.91912,1.5,-0.419118,9.76757,-3.09187,-8.59482,3.8453,0.0843883,3.96172,-1.75366,1.5,-0.253659,12.2813,-5.16766,-8.86732
0.8,5,2.23416,2.95721,-2.4047,1.5,-0.904696,9.16736,-3.0327,-8.53936,7.3094,3.45979,4.05096,-2.26509,1.5,-0.765092,12.558,-5.85883,-8.96424,3,0.234882,2.95663,-2.41218,1.5,-0.912178,9.16554,-3.03274,-8.54498,3.8453,0.282848,3.76091,-2.26916,1.5,-0.769158,11.6588,-5.09244,-8.83554,7,4.23488,2.95663,-2.41218,1.5,-0.912178,9.16554,-3.03274,-8.54498,3.8453,0.282848,3.76091,-2.26916,1.5,-0.769158,11.6588,-5.09244,-8.83554
0.85,5,2.4215,2.76584,-2.82359,1.5,-1.32359,8.57411,-2.97738,-8.42033,7.3094,3.65737,3.84961,-2.70755,1.5,-1.20755,11.9338,-5.78184,-8.85949,3,0.422374,2.76512,-2.83195,1.5,-1.33195,8.57186,-2.97743,-8.42638,3.8453,0.477577,3.56245,-2.7098,1.5,-1.2098,11.0436,-5.0212,-8.7322,7,4.42237,2.76512,-2.83195,1.5,-1.33195,8.57186,-2.97743,-8.42638,3.8453,0.477577,3.56245,-2.7098,1.5,-1.2098,11.0436,-5.0212,-8.7322
0.9,5,2.60373,2.5785,-3.17577,1.5,-1.67577,7.99334,-2.92581,-8.24329,7.3094,3.85002,3.65203,-3.08093,1.5,-1.58093,11.3213,-5.7088,-8.69342,3,0.604753,2.57763,-3.18488,1.5,-1.68488,7.99064,-2.92588,-8.24964,3.8453,0.667425,3.36772,-3.082,1.5,-1.582,10.4399,-4.95384,-8.5681,7,4.60475,2.57763,-3.18488,1.5,-1.68488,7.99064,-2.92588,-8.24964,3.8453,0.667425,3.36772,-3.082,1.5,-1.582,10.4399,-4.95384,-8.5681
0.95,5,2.77996,2.39627,-3.46761,1.5,-1.96761,7.42842,-2.87788,-8.01815,7.3094,4.03678,3.45939,-3.39183,1.5,-1.89183,10.7241,-5.63961,-8.47632,3,0.781126,2.39525,-3.47736,1.5,-1.97736,7.42527,-2.87798,-8.02465,3.8453,0.85145,3.17787,-3.3922,1.5,-1.8922,9.85141,-4.89028,-8.35332,7,4.78113,2.39525,-3.47736,1.5,-1.97736,7.42527,-2.87798,-8.02465,3.8453,0.85145,3.17787,-3.3922,1.5,-1.8922,9.85141,-4.89028,-8.35332
