Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.0245,5,10,0,10,120,0.8,-0,7.3094,1.1745,6.1594,10,0,10,147.826,0.985504,-0,3,-1.9755,5,10,0,10,120,0.8,-0,3.8453,-1.9755,5.8453,10,0,10,140.287,0.935248,-0,7,2.0245,5,10,0,10,120,0.8,-0,3.8453,-1.9755,5.8453,10,0,10,140.287,0.935248,-0,0,0
0.05,5,0.07301,4.9755,10,1.26119,10,119.412,1.59608,-58.212,7.3094,1.22301,6.1349,10,1.96419,10,147.238,1.96709,-58.212,3,-1.92699,4.9755,10,1.26119,10,119.412,1.59608,-58.212,3.8453,-1.92699,5.8208,10,1.50382,10,139.699,1.86658,-58.212,7,2.07301,4.9755,10,1.26119,10,119.412,1.59608,-58.212,3.8453,-1.92699,5.8208,10,1.50382,10,139.699,1.86658,-58.212,0,0
0.1,5,0.137311,4.92699,5.3724,1.46901,6.84141,118.248,2.3844,-115.26,7.3094,1.29505,6.08639,10,2.25851,10,146.073,2.94091,-115.26,3,-1.86269,4.92699,5.3724,1.46901,6.84141,118.248,2.3844,-115.26,3.8453,-1.85495,5.77229,10,1.87881,10,138.535,2.79014,-115.26,7,2.13731,4.92699,5.3724,1.46901,6.84141,118.248,2.3844,-115.26,3.8453,-1.85495,5.77229,10,1.87881,10,138.535,2.79014,-115.26,0,0
0.15,5,0.179501,4.86269,-10,1.5,-8.5,116.705,3.16243,-152.78,7.3094,1.34606,6.01435,-10,2.00395,-7.99605,144.344,3.90321,-171.167,3,-1.8205,4.86269,-10,1.5,-8.5,116.705,3.16243,-152.78,3.8453,-1.80457,5.70025,-10,1.74612,-8.25388,136.806,3.70218,-171.167,7,2.1795,4.86269,-10,1.5,-8.5,116.705,3.16243,-152.78,3.8453,-1.80457,5.70025,-10,1.74612,-8.25388,136.806,3.70218,-171.167,0,0
0.2,5,0.245348,4.8205,10,1.37708,10,115.692,3.93371,-100.244,7.3094,1.42055,5.96334,10,2.09499,10,143.12,4.85734,-121.197,3,-1.75465,4.8205,10,1.37708,10,115.692,3.93371,-100.244,3.8453,-1.7307,5.64987,10,1.78661,10,135.597,4.60616,-119.696,7,2.24535,4.8205,10,1.37708,10,115.692,3.93371,-100.244,3.8453,-1.7307,5.64987,10,1.78661,10,135.597,4.60616,-119.696,0,0
0.25,5,0.289052,4.75465,-10,1.5,-8.5,114.112,4.69445,-156.451,7.3094,1.47355,5.88885,-10,1.83651,-8.16349,141.332,5.79956,-176.985,3,-1.71095,4.75465,-10,1.5,-8.5,114.112,4.69445,-156.451,3.8453,-1.6789,5.576,-10,1.59806,-8.40194,133.824,5.49832,-175.514,7,2.28905,4.75465,-10,1.5,-8.5,114.112,4.69445,-156.451,3.8453,-1.6789,5.576,-10,1.59806,-8.40194,133.824,5.49832,-175.514,0,0
0.3,5,0.356383,4.71095,10,1.39478,10,113.063,5.4482,-103.842,7.3094,1.54998,5.83586,10,1.98487,10,140.061,6.7333,-125.924,3,-1.64362,4.71095,10,1.39478,10,113.063,5.4482,-103.842,3.8453,-1.60363,5.5242,10,1.55577,10,132.581,6.38219,-123.094,7,2.35638,4.71095,10,1.39478,10,113.063,5.4482,-103.842,3.8453,-1.60363,5.5242,10,1.55577,10,132.581,6.38219,-123.094,0,0
0.35,5,0.401542,4.64362,-10,1.5,-8.5,111.447,6.19118,-159.977,7.3094,1.6046,5.75942,-10,1.71618,-8.28382,138.226,7.6548,-181.617,3,-1.59846,4.64362,-10,1.5,-8.5,111.447,6.19118,-159.977,3.8453,-1.55068,5.44892,-10,1.5,-8.5,130.774,7.25402,-178.844,7,2.40154,4.64362,-10,1.5,-8.5,111.447,6.19118,-159.977,3.8453,-1.55068,5.44892,-10,1.5,-8.5,130.774,7.25402,-178.844,0,0
0.4,5,0.470297,4.59846,9.99262,1.41398,10,110.363,6.92694,-107.297,7.3094,1.68262,5.7048,10,1.84091,10,136.915,8.56757,-129.763,3,-1.5297,4.59846,9.99262,1.41398,10,110.363,6.92694,-107.297,3.8453,-1.4743,5.39598,10,1.5,10,129.504,8.11738,-125.787,7,2.4703,4.59846,9.99262,1.41398,10,110.363,6.92694,-107.297,3.8453,-1.4743,5.39598,10,1.5,10,129.504,8.11738,-125.787,0,0
0.45,5,0.516853,4.5297,-10,1.5,-8.5,108.713,7.65169,-163.363,7.3094,1.73851,5.62678,-10,1.60565,-8.39435,135.043,9.46786,-185.38,3,-1.48315,4.5297,-10,1.5,-8.5,108.713,7.65169,-163.363,3.8453,-1.42027,5.3196,-10,1.5,-8.5,127.67,8.96852,-181.483,7,2.51685,4.5297,-10,1.5,-8.5,108.713,7.65169,-163.363,3.8453,-1.42027,5.3196,-10,1.5,-8.5,127.67,8.96852,-181.483,0,0
