Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.015435,5,6.3,0,6.3,6,0.3,-0,7.3094,1.16901,6.1594,7.76085,0,7.76085,7.39128,0.369564,-0,3,-1.98456,5,6.3,0,6.3,6,0.3,-0,3.8453,-1.98196,5.8453,7.36508,0,7.36508,7.01436,0.350718,-0,7,2.01544,5,6.3,0,6.3,6,0.3,-0,3.8453,-1.98196,5.8453,7.36508,0,7.36508,7.01436,0.350718,-0,0,0
0.05,5,0.0490894,4.98456,6.33606,1.22641,7.56247,5.98148,0.599074,-0.24449,7.3094,1.21151,6.14039,7.80527,1.93467,9.73994,7.36846,0.737987,-0.301183,3,-1.95091,4.98456,6.33606,1.22641,7.56247,5.98148,0.599074,-0.24449,3.8453,-1.94254,5.82726,7.40724,1.46178,8.86902,6.99271,0.700353,-0.285824,7,2.04909,4.98456,6.33606,1.22641,7.56247,5.98148,0.599074,-0.24449,3.8453,-1.94254,5.82726,7.40724,1.46178,8.86902,6.99271,0.700353,-0.285824,0,0
0.1,5,0.100716,4.95091,6.30414,1.30633,7.61047,5.94109,0.896129,-0.533085,7.3094,1.27737,6.09789,7.74818,2.13617,9.88435,7.31747,1.10386,-0.673147,3,-1.89928,4.95091,6.30414,1.30633,7.61047,5.94109,0.896129,-0.533085,3.8453,-1.88181,5.78784,7.36874,1.65472,9.02346,6.94541,1.04762,-0.624296,7,2.10072,4.95091,6.30414,1.30633,7.61047,5.94109,0.896129,-0.533085,3.8453,-1.88181,5.78784,7.36874,1.65472,9.02346,6.94541,1.04762,-0.624296,0,0
0.15,5,0.170302,4.89928,6.25146,1.5,7.75146,5.87914,1.19009,-0.81777,7.3094,1.36591,6.03203,7.66094,2.13205,9.79299,7.23843,1.46578,-1.04328,3,-1.8297,4.89928,6.25146,1.5,7.75146,5.87914,1.19009,-0.81777,3.8453,-1.7999,5.72711,7.30179,1.84022,9.14201,6.87253,1.39125,-0.961993,7,2.1703,4.89928,6.25146,1.5,7.75146,5.87914,1.19009,-0.81777,3.8453,-1.7999,5.72711,7.30179,1.84022,9.14201,6.87253,1.39125,-0.961993,0,0
0.2,5,0.257295,4.8297,6.17327,1.5,7.67327,5.79564,1.47987,-1.10223,7.3094,1.47576,5.94349,7.55212,1.86957,9.42169,7.13219,1.82239,-1.40246,3,-1.74271,4.8297,6.17327,1.5,7.67327,5.79564,1.47987,-1.10223,3.8453,-1.69799,5.6452,7.20666,1.621,8.82766,6.77423,1.72996,-1.29754,7,2.25729,4.8297,6.17327,1.5,7.67327,5.79564,1.47987,-1.10223,3.8453,-1.69799,5.6452,7.20666,1.621,8.82766,6.77423,1.72996,-1.29754,0,0
0.25,5,0.361114,4.74271,6.0777,1.5,7.5777,5.69125,1.76443,-1.37797,7.3094,1.60598,5.83364,7.43273,1.77803,9.21076,7.00036,2.17241,-1.74004,3,-1.63889,4.74271,6.0777,1.5,7.5777,5.69125,1.76443,-1.37797,3.8453,-1.57697,5.54329,7.10034,1.53608,8.63642,6.65195,2.06256,-1.61417,7,2.36111,4.74271,6.0777,1.5,7.5777,5.69125,1.76443,-1.37797,3.8453,-1.57697,5.54329,7.10034,1.53608,8.63642,6.65195,2.06256,-1.61417,0,0
0.3,5,0.481145,4.63889,5.96494,1.5,7.46494,5.56666,2.04276,-1.64449,7.3094,1.75557,5.70342,7.29602,1.66951,8.96553,6.8441,2.51461,-2.06269,3,-1.51885,4.63889,5.96494,1.5,7.46494,5.56666,2.04276,-1.64449,3.8453,-1.43759,5.42227,6.97757,1.5,8.47757,6.50672,2.3879,-1.91705,7,2.48115,4.63889,5.96494,1.5,7.46494,5.56666,2.04276,-1.64449,3.8453,-1.43759,5.42227,6.97757,1.5,8.47757,6.50672,2.3879,-1.91705,0,0
0.35,5,0.616747,4.51885,5.83522,1.5,7.33522,5.42263,2.31389,-1.9013,7.3094,1.92344,5.55383,7.14307,1.54486,8.68793,6.6646,2.84784,-2.36938,3,-1.38325,4.51885,5.83522,1.5,7.33522,5.42263,2.31389,-1.9013,3.8453,-1.28058,5.28289,6.83663,1.5,8.33663,6.33947,2.70487,-2.2077,7,2.61675,4.51885,5.83522,1.5,7.33522,5.42263,2.31389,-1.9013,3.8453,-1.28058,5.28289,6.83663,1.5,8.33663,6.33947,2.70487,-2.2077,0,0
0.4,5,0.76725,4.38325,5.68885,1.5,7.18885,5.2599,2.57689,-2.14794,7.3094,2.10872,5.38596,6.975,1.5,8.475,6.46315,3.171,-2.65915,3,-1.23275,4.38325,5.68885,1.5,7.18885,5.2599,2.57689,-2.14794,3.8453,-1.10667,5.12588,6.6764,1.5,8.1764,6.15105,3.01242,-2.48708,7,2.76725,4.38325,5.68885,1.5,7.18885,5.2599,2.57689,-2.14794,3.8453,-1.10667,5.12588,6.6764,1.5,8.1764,6.15105,3.01242,-2.48708,0,0
0.45,5,0.931957,4.23275,5.52619,1.5,7.02619,5.0793,2.83085,-2.38396,7.3094,2.31061,5.20068,6.78899,1.5,8.28899,6.24081,3.48304,-2.93486,3,-1.06804,4.23275,5.52619,1.5,7.02619,5.0793,2.83085,-2.38396,3.8453,-0.916654,4.95197,6.49726,1.5,7.99726,5.94237,3.30954,-2.75465,7,2.93196,4.23275,5.52619,1.5,7.02619,5.0793,2.83085,-2.38396,3.8453,-0.916654,4.95197,6.49726,1.5,7.99726,5.94237,3.30954,-2.75465,0,0
0.5,5,1.11015,4.06804,5.34763,1.5,6.84763,4.88165,3.07494,-2.60896,7.3094,2.52826,4.99879,6.58368,1.5,8.08368,5.99855,3.78297,-3.19785,3,-0.889854,4.06804,5.34763,1.5,6.84763,4.88165,3.07494,-2.60896,3.8453,-0.711325,4.76195,6.29969,1.5,7.79969,5.71434,3.59526,-3.00991,7,3.11015,4.06804,5.34763,1.5,6.84763,4.88165,3.07494,-2.60896,3.8453,-0.711325,4.76195,6.29969,1.5,7.79969,5.71434,3.59526,-3.00991,0,0
0.55,5,1.30107,3.88985,5.15363,1.5,6.65363,4.66782,3.30833,-2.82252,7.3094,2.76081,4.78114,6.35961,1.5,7.85961,5.73737,4.06984,-3.4476,3,-0.698926,3.88985,5.15363,1.5,6.65363,4.66782,3.30833,-2.82252,3.8453,-0.491522,4.55662,6.0842,1.5,7.5842,5.46795,3.86865,-3.2524,7,3.30107,3.88985,5.15363,1.5,6.65363,4.66782,3.30833,-2.82252,3.8453,-0.491522,4.55662,6.0842,1.5,7.5842,5.46795,3.86865,-3.2524,0,0
0.6,5,1.50397,3.69893,4.94469,1.5,6.44469,4.43871,3.53026,-3.02428,7.3094,3.00738,4.54859,6.11739,1.5,7.61739,5.4583,4.34275,-3.68366,3,-0.496028,3.69893,4.94469,1.5,6.44469,4.43871,3.53026,-3.02428,3.8453,-0.258104,4.33682,5.85137,1.5,7.35137,5.20419,4.12886,-3.48168,7,3.50397,3.69893,4.94469,1.5,6.44469,4.43871,3.53026,-3.02428,3.8453,-0.258104,4.33682,5.85137,1.5,7.35137,5.20419,4.12886,-3.48168,0,0
0.65,5,1.71805,3.49603,4.72135,1.5,6.22135,4.19523,3.74003,-3.2139,7.3094,3.26704,4.30202,5.85769,1.5,7.35769,5.16242,4.60088,-3.90561,3,-0.281946,3.49603,4.72135,1.5,6.22135,4.19523,3.74003,-3.2139,3.8453,-0.011955,4.1034,5.60181,1.5,7.10181,4.92408,4.37507,-3.69734,7,3.71805,3.49603,4.72135,1.5,6.22135,4.19523,3.74003,-3.2139,3.8453,-0.011955,4.1034,5.60181,1.5,7.10181,4.92408,4.37507,-3.69734,0,0
0.7,5,1.94252,3.28195,4.48421,1.5,5.98421,3.93834,3.93694,-3.39106,7.3094,3.53702,4.04236,5.58122,0.75,6.33122,4.85083,4.84342,-4.11303,3,-0.057484,3.28195,4.48421,1.5,5.98421,3.93834,3.93694,-3.39106,3.8453,0.24602,3.85725,5.33621,1.5,6.83621,4.62871,4.6065,-3.899,7,3.94252,3.28195,4.48421,1.5,5.98421,3.93834,3.93694,-3.39106,3.8453,0.24602,3.85725,5.33621,1.5,6.83621,4.62871,4.6065,-3.899,0,0
0.75,5,2.17654,3.05748,4.23389,1.5,5.73389,3.66898,4.12039,-3.55548,7.3094,3.81647,3.77238,5.32014,0.75,6.07014,4.52686,5.06976,-4.27647,3,0.176537,3.05748,4.23389,1.5,5.73389,3.66898,4.12039,-3.55548,3.8453,0.513058,3.59928,5.05528,0.75,5.80528,4.31914,4.82246,-4.08632,7,4.17654,3.05748,4.23389,1.5,5.73389,3.66898,4.12039,-3.55548,3.8453,0.513058,3.59928,5.05528,0.75,5.80528,4.31914,4.82246,-4.08632,0,0
0.8,5,2.41928,2.82346,3.97106,1.5,5.47106,3.38816,4.2898,-3.70689,7.3094,4.10453,3.49293,5.04434,0.75,5.79434,4.19151,5.27934,-4.42651,3,0.419281,2.82346,3.97106,1.5,5.47106,3.38816,4.2898,-3.70689,3.8453,0.788331,3.33224,4.7912,0.75,5.5412,3.99869,5.02239,-4.22989,7,4.41928,2.82346,3.97106,1.5,5.47106,3.38816,4.2898,-3.70689,3.8453,0.788331,3.33224,4.7912,0.75,5.5412,3.99869,5.02239,-4.22989,0,0
0.85,5,2.6699,2.58072,3.69643,1.5,5.19643,3.09686,4.44464,-3.84507,7.3094,4.40032,3.20487,4.75462,0.75,5.50462,3.84584,5.47163,-4.56285,3,0.669902,2.58072,3.69643,1.5,5.19643,3.09686,4.44464,-3.84507,3.8453,1.071,3.05697,4.51384,0.75,5.26384,3.66836,5.20581,-4.36033,7,4.6699,2.58072,3.69643,1.5,5.19643,3.09686,4.44464,-3.84507,3.8453,1.071,3.05697,4.51384,0.75,5.26384,3.66836,5.20581,-4.36033,0,0
0.9,5,2.9257,2.3301,3.41073,0.75,4.16073,2.79612,4.58445,-3.96984,7.3094,4.70293,2.90909,4.45186,0.75,5.20186,3.4909,5.64617,-4.68522,3,0.925705,2.3301,3.41073,0.75,4.16073,2.79612,4.58445,-3.96984,3.8453,1.36019,2.7743,4.22403,0.75,4.97403,3.32916,5.37227,-4.4774,7,4.9257,2.3301,3.41073,0.75,4.16073,2.79612,4.58445,-3.96984,3.8453,1.36019,2.7743,4.22403,0.75,4.97403,3.32916,5.37227,-4.4774,0,0
