Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.0245,5,10,0,10,270,1.66667,-0,7.3094,1.1745,6.1594,10,0,10,332.608,2.05313,-0,3,-1.9755,5,10,0,10,270,1.66667,-0,3.8453,-1.9755,5.8453,10,0,10,315.646,1.94843,-0,7,2.0245,5,10,0,10,270,1.66667,-0,3.8453,-1.9755,5.8453,10,0,10,315.646,1.94843,-0,0,0
0.05,5,0.07301,4.9755,10,0,10,268.677,3.32517,-59.535,7.3094,1.22301,6.1349,10,0,10,331.285,4.0981,-59.535,3,-1.92699,4.9755,10,0,10,268.677,3.32517,-59.535,3.8453,-1.92699,5.8208,10,0,10,314.323,3.8887,-59.535,7,2.07301,4.9755,10,0,10,268.677,3.32517,-59.535,3.8453,-1.92699,5.8208,10,0,10,314.323,3.8887,-59.535,0,0
0.1,5,0.14505,4.92699,10,0,10,266.057,4.9675,-117.879,7.3094,1.29505,6.08639,10,0,10,328.665,6.1269,-117.879,3,-1.85495,4.92699,10,0,10,266.057,4.9675,-117.879,3.8453,-1.85495,5.77229,10,0,10,311.704,5.8128,-117.879,7,2.14505,4.92699,10,0,10,266.057,4.9675,-117.879,3.8453,-1.85495,5.77229,10,0,10,311.704,5.8128,-117.879,0,0
0.15,5,0.240149,4.85495,10,0,10,262.167,6.58581,-175.057,7.3094,1.39015,6.01435,10,0,10,324.775,8.13168,-175.057,3,-1.75985,4.85495,10,0,10,262.167,6.58581,-175.057,3.8453,-1.75985,5.70025,10,0,10,307.813,7.71288,-175.057,7,2.24015,4.85495,10,0,10,262.167,6.58581,-175.057,3.8453,-1.75985,5.70025,10,0,10,307.813,7.71288,-175.057,0,0
0.2,5,0.357846,4.75985,10,0,10,257.032,8.17243,-231.091,7.3094,1.50785,5.91925,10,0,10,319.64,10.1048,-231.091,3,-1.64215,4.75985,10,0,10,257.032,8.17243,-231.091,3.8453,-1.64215,5.60515,10,0,10,302.678,9.58126,-231.091,7,2.35785,4.75985,10,0,10,257.032,8.17243,-231.091,3.8453,-1.64215,5.60515,10,0,10,302.678,9.58126,-231.091,0,0
0.25,5,0.448689,4.64215,-10,0,-10,250.676,9.71982,-286.004,7.3094,1.64769,5.80156,10,0,10,313.284,12.0386,-286.004,3,-1.55131,4.64215,-10,0,-10,250.676,9.71982,-286.004,3.8453,-1.50231,5.48745,10,0,10,296.322,11.4104,-286.004,7,2.44869,4.64215,-10,0,-10,250.676,9.71982,-286.004,3.8453,-1.50231,5.48745,10,0,10,296.322,11.4104,-286.004,0,0
0.3,5,0.562215,4.55131,10,0,10,245.771,11.2369,-220.749,7.3094,1.76024,5.66171,-10,0,-10,305.732,13.9259,-339.819,3,-1.43778,4.55131,10,0,10,245.771,11.2369,-220.749,3.8453,-1.38976,5.34761,-10,0,-10,288.771,13.193,-339.819,7,2.56222,4.55131,10,0,10,245.771,11.2369,-220.749,3.8453,-1.38976,5.34761,-10,0,-10,288.771,13.193,-339.819,0,0
0.35,5,0.648971,4.43778,-10,0,-10,239.64,12.7162,-275.869,7.3094,1.89503,5.54917,10,0,10,299.655,15.7756,-273.487,3,-1.35103,4.43778,-10,0,-10,239.64,12.7162,-275.869,3.8453,-1.25497,5.23506,10,0,10,282.693,14.938,-273.487,7,2.64897,4.43778,-10,0,-10,239.64,12.7162,-275.869,3.8453,-1.25497,5.23506,10,0,10,282.693,14.938,-273.487,0,0
0.4,5,0.758491,4.35103,10,0,10,234.956,14.1665,-210.816,7.3094,2.00263,5.41437,-10,0,-10,292.376,17.5804,-327.553,3,-1.24151,4.35103,10,0,10,234.956,14.1665,-210.816,3.8453,-1.14737,5.10027,-10,0,-10,275.415,16.6381,-327.553,7,2.75849,4.35103,10,0,10,234.956,14.1665,-210.816,3.8453,-1.14737,5.10027,-10,0,-10,275.415,16.6381,-327.553,0,0
0.45,5,0.841322,4.24151,-10,0,-10,229.041,15.5804,-266.135,7.3094,2.13258,5.30677,10,0,10,286.566,19.3493,-261.467,3,-1.15868,4.24151,-10,0,-10,229.041,15.5804,-266.135,3.8453,-1.01742,4.99267,10,0,10,269.604,18.3023,-261.467,7,2.84132,4.24151,-10,0,-10,229.041,15.5804,-266.135,3.8453,-1.01742,4.99267,10,0,10,269.604,18.3023,-261.467,0,0
