Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
1,5,3.87306,1.55691,-3.87403,0,-3.87403,4.82642,-3.17182,-5.52863,7.3094,5.4478,2.39074,-2.93257,0,-2.93257,7.41129,-4.20726,-6.1366,3,1.87388,1.55644,-3.87648,0,-3.87648,4.82497,-3.17185,-5.52959,3.8453,2.27368,2.09372,-3.07336,0,-3.07336,6.49053,-3.46053,-6.10336,7,5.87388,1.55644,-3.87648,0,-3.87648,4.82497,-3.17185,-5.52959,3.8453,2.27368,2.09372,-3.07336,0,-3.07336,6.49053,-3.46053,-6.10336
1.1,5,4.24634,1.12694,-5.55492,0,-5.55492,3.49352,-3.12674,-5.9217,7.3094,5.92458,1.8616,-5.04885,0,-5.04885,5.77097,-4.1328,-6.68703,3,2.24762,1.12612,-5.5592,0,-5.5592,3.49096,-3.12681,-5.92335,3.8453,2.74258,1.57162,-5.16725,0,-5.16725,4.87203,-3.39766,-6.64163,7,6.24762,1.12612,-5.5592,0,-5.5592,3.49096,-3.12681,-5.92335,3.8453,2.74258,1.57162,-5.16725,0,-5.16725,4.87203,-3.39766,-6.64163
1.2,5,4.55142,0.753661,-6.91099,0,-6.91099,2.33635,-3.0966,-6.15074,7.3094,6.3337,1.38482,-6.8517,0,-6.8517,4.29295,-4.0774,-7.06725,3,2.55325,0.752375,-6.91759,0,-6.91759,2.33236,-3.09671,-6.15324,3.8453,3.14319,1.10272,-6.94415,0,-6.94415,3.41845,-3.35355,-7.00904,7,6.55325,0.752375,-6.91759,0,-6.91759,2.33236,-3.09671,-6.15324,3.8453,3.14319,1.10272,-6.94415,0,-6.94415,3.41845,-3.35355,-7.00904
1.3,5,4.78009,0.448577,-7.89492,0,-7.89492,1.39059,-3.07865,-6.20686,7.3094,6.6647,0.975698,-8,0,-8,3.02466,-4.03837,-7.2606,3,2.7825,0.44675,-7.90421,0,-7.90421,1.38493,-3.07884,-6.21029,3.8453,3.46557,0.702112,-8,0,-8,2.17655,-3.32547,-7.18949,7,6.7825,0.44675,-7.90421,0,-7.90421,1.38493,-3.07884,-6.21029,3.8453,3.46557,0.702112,-8,0,-8,2.17655,-3.32547,-7.18949
1.4,5,4.92722,0.219911,-8.47737,0,-8.47737,0.681725,-3.06986,-6.08923,7.3094,6.91472,0.644697,-8,0,-8,1.99856,-3.87543,-7.26274,3,2.9302,0.2175,-8.48951,0,-8.48951,0.674251,-3.07014,-6.09361,3.8453,3.70706,0.37973,-8,0,-8,1.17716,-3.14108,-7.17978,7,6.9302,0.2175,-8.48951,0,-8.48951,0.674251,-3.07014,-6.09361,3.8453,3.70706,0.37973,-8,0,-8,1.17716,-3.14108,-7.17978
1.5,5,4.99057,0.0727843,-8.6453,0,-8.6453,0.225631,-3.06695,-5.80399,7.3094,7.08386,0.394676,-8,0,-8,1.2235,-3.28984,-7.08651,3,2.99407,0.0697977,-8.66018,0,-8.66018,0.216373,-3.06735,-5.8092,3.8453,3.86781,0.138235,-8,0,-8,0.428527,-2.5637,-6.99309,7,6.99407,0.0697977,-8.66018,0,-8.66018,0.216373,-3.06735,-5.8092,3.8453,3.86781,0.138235,-8,0,-8,0.428527,-2.5637,-6.99309
1.6,5,4.97069,0.00943227,-8.40029,0,-8.40029,0.02924,-3.06657,-5.36297,7.3094,7.17293,0.225542,-8,0,-8,0.699181,-2.70439,-6.74996,3,2.97458,0.00593455,-8.41749,0,-8.41749,0.0183971,-3.06711,-5.36878,3.8453,3.9486,-0.0225099,-8,0,-8,-0.0697808,-2.00047,-6.64742,7,6.97458,0.00593455,-8.41749,0,-8.41749,0.0183971,-3.06711,-5.36878,3.8453,3.9486,-0.0225099,-8,0,-8,-0.0697808,-2.00047,-6.64742
1.7,5,4.87091,0.0293093,-7.75748,0,-7.75748,0.0908588,-3.0654,-4.78294,7.3094,7.18245,0.13647,-8,0,-8,0.423057,-2.32135,-6.27092,3,2.87501,0.0254211,-7.77632,0,-7.77632,0.0788055,-3.0661,-4.78903,3.8453,3.9499,-0.103304,-8,0,-8,-0.320244,-1.64577,-6.16042,7,6.87501,0.0254211,-7.77632,0,-7.77632,0.0788055,-3.0661,-4.78903,3.8453,3.9499,-0.103304,-8,0,-8,-0.320244,-1.64577,-6.16042
1.8,5,4.69807,0.129086,-6.7452,0,-6.7452,0.400166,-3.06023,-4.08514,7.3094,7.11488,0.126953,-7.50288,0,-7.50288,0.393553,-2.23166,-5.66477,3,2.70219,0.124988,-6.76471,0,-6.76471,0.387463,-3.0611,-4.09108,3.8453,3.87438,-0.104603,-7.45824,0,-7.45824,-0.32427,-1.58673,-5.54724,7,6.70219,0.124988,-6.76471,0,-6.76471,0.387463,-3.0611,-4.09108,3.8453,3.87438,-0.104603,-7.45824,0,-7.45824,-0.32427,-1.58673,-5.54724
1.9,5,4.46345,0.301932,-5.40853,0,-5.40853,0.935989,-3.04815,-3.29636,7.3094,6.97679,0.19452,-6.57052,0,-6.57052,0.603011,-2.22388,-4.94964,3,2.46744,0.297812,-5.42773,0,-5.42773,0.923216,-3.04918,-3.30176,3.8453,3.72887,-0.0290777,-6.5044,0,-6.5044,-0.090141,-1.5879,-4.82636,7,6.46744,0.297812,-5.42773,0,-5.42773,0.923216,-3.04918,-3.30176,3.8453,3.72887,-0.0290777,-6.5044,0,-6.5044,-0.090141,-1.5879,-4.82636
