Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.0245,5,10,0,10,18,0.9,-0,7.3094,1.1745,6.1594,10,0,10,22.1738,1.10869,-0,3,-1.9755,5,10,0,10,18,0.9,-0,3.8453,-1.9755,5.8453,10,0,10,21.0431,1.05215,-0,7,2.0245,5,10,0,10,18,0.9,-0,3.8453,-1.9755,5.8453,10,0,10,21.0431,1.05215,-0,0,0
0.05,5,0.07301,4.9755,10,1.26119,10,17.9118,1.79559,-0.441,7.3094,1.22301,6.1349,10,1.96419,10,22.0856,2.21297,-0.441,3,-1.92699,4.9755,10,1.26119,10,17.9118,1.79559,-0.441,3.8453,-1.92699,5.8208,10,1.50382,10,20.9549,2.0999,-0.441,7,2.07301,4.9755,10,1.26119,10,17.9118,1.79559,-0.441,3.8453,-1.92699,5.8208,10,1.50382,10,20.9549,2.0999,-0.441,0,0
0.1,5,0.14505,4.92699,10,1.46901,10,17.7372,2.68245,-0.87318,7.3094,1.29505,6.08639,10,2.25851,10,21.911,3.30852,-0.87318,3,-1.85495,4.92699,10,1.46901,10,17.7372,2.68245,-0.87318,3.8453,-1.85495,5.77229,10,1.87881,10,20.7802,3.13891,-0.87318,7,2.14505,4.92699,10,1.46901,10,17.7372,2.68245,-0.87318,3.8453,-1.85495,5.77229,10,1.87881,10,20.7802,3.13891,-0.87318,0,0
0.15,5,0.240149,4.85495,10,1.5,10,17.4778,3.55634,-1.29672,7.3094,1.39015,6.01435,10,2.00395,10,21.6517,4.39111,-1.29672,3,-1.75985,4.85495,10,1.5,10,17.4778,3.55634,-1.29672,3.8453,-1.75985,5.70025,10,1.74612,10,20.5209,4.16495,-1.29672,7,2.24015,4.85495,10,1.5,10,17.4778,3.55634,-1.29672,3.8453,-1.75985,5.70025,10,1.74612,10,20.5209,4.16495,-1.29672,0,0
0.2,5,0.357846,4.75985,10,1.5,10,17.1355,4.41311,-1.71178,7.3094,1.50785,5.91925,10,1.84938,10,21.3093,5.45657,-1.71178,3,-1.64215,4.75985,10,1.5,10,17.1355,4.41311,-1.71178,3.8453,-1.64215,5.60515,10,1.58763,10,20.1785,5.17388,-1.71178,7,2.35785,4.75985,10,1.5,10,17.1355,4.41311,-1.71178,3.8453,-1.64215,5.60515,10,1.58763,10,20.1785,5.17388,-1.71178,0,0
0.25,5,0.497689,4.64215,10,1.5,10,16.7118,5.2487,-2.11855,7.3094,1.64769,5.80156,10,1.7513,10,20.8856,6.50085,-2.11855,3,-1.50231,4.64215,10,1.5,10,16.7118,5.2487,-2.11855,3.8453,-1.50231,5.48745,10,1.5,10,19.7548,6.16162,-2.11855,7,2.49769,4.64215,10,1.5,10,16.7118,5.2487,-2.11855,3.8453,-1.50231,5.48745,10,1.5,10,19.7548,6.16162,-2.11855,0,0
0.3,5,0.659235,4.50231,10,1.5,10,16.2083,6.05912,-2.51718,7.3094,1.80924,5.66171,10,1.63476,10,20.3822,7.51996,-2.51718,3,-1.34076,4.50231,10,1.5,10,16.2083,6.05912,-2.51718,3.8453,-1.34076,5.34761,10,1.5,10,19.2514,7.12419,-2.51718,7,2.65924,4.50231,10,1.5,10,16.2083,6.05912,-2.51718,3.8453,-1.34076,5.34761,10,1.5,10,19.2514,7.12419,-2.51718,0,0
0.35,5,0.84205,4.34076,10,1.5,10,15.6268,6.84045,-2.90783,7.3094,1.99205,5.50017,10,1.50014,10,19.8006,8.50999,-2.90783,3,-1.15795,4.34076,10,1.5,10,15.6268,6.84045,-2.90783,3.8453,-1.15795,5.18606,10,1.5,10,18.6698,8.05769,-2.90783,7,2.84205,4.34076,10,1.5,10,15.6268,6.84045,-2.90783,3.8453,-1.15795,5.18606,10,1.5,10,18.6698,8.05769,-2.90783,0,0
0.4,5,1.04571,4.15795,10,1.5,10,14.9686,7.58888,-3.29068,7.3094,2.19571,5.31735,10,1.5,10,19.1425,9.46711,-3.29068,3,-0.954291,4.15795,10,1.5,10,14.9686,7.58888,-3.29068,3.8453,-0.954291,5.00325,10,1.5,10,18.0117,8.95827,-3.29068,7,3.04571,4.15795,10,1.5,10,14.9686,7.58888,-3.29068,3.8453,-0.954291,5.00325,10,1.5,10,18.0117,8.95827,-3.29068,0,0
0.45,5,1.2698,3.95429,10,1.5,10,14.2354,8.30066,-3.66586,7.3094,2.4198,5.11369,10,1.5,10,18.4093,10.3876,-3.66586,3,-0.730205,3.95429,10,1.5,10,14.2354,8.30066,-3.66586,3.8453,-0.730205,4.79959,10,1.5,10,17.2785,9.8222,-3.66586,7,3.2698,3.95429,10,1.5,10,14.2354,8.30066,-3.66586,3.8453,-0.730205,4.79959,10,1.5,10,17.2785,9.8222,-3.66586,0,0
