Time,TargetX0,CurrentX0,VelX0,ErrorX0,PIDOutX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,VelY0,ErrorY0,PIDOutY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,VelX1,ErrorX1,PIDOutX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,VelY1,ErrorY1,PIDOutY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,VelX2,ErrorX2,PIDOutX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,VelY2,ErrorY2,PIDOutY2,PTermY2,ITermY2,DTermY2
0.5,5,-0.727709,3.62811,5.72771,4.89572,8.86367,0.180885,-4.14884,7.3094,1.31482,3.77475,5.99458,5.15096,9.27497,0.189078,-4.31309,3,0.549063,1.55836,2.45094,2.08783,3.79328,0.0774646,-1.78292,3.8453,0.703771,1.99745,3.14153,2.6761,4.8621,0.0992915,-2.28529,7,2.91511,2.59726,4.08489,3.47971,6.32214,0.129108,-2.97153,3.8453,0.703771,1.99745,3.14153,2.6761,4.8621,0.0992915,-2.28529
0.55,5,-0.539071,3.77277,5.53907,4.43304,8.59156,0.195204,-4.35373,7.3094,1.51122,3.9279,5.79818,4.66623,8.99187,0.204064,-4.5297,3,0.630053,1.6198,2.36995,1.88997,3.67641,0.0835919,-1.87003,3.8453,0.807581,2.0762,3.03772,2.4225,4.71229,0.107145,-2.39694,7,3.05009,2.69966,3.94991,3.14995,6.12734,0.13932,-3.11671,3.8453,0.807581,2.0762,3.03772,2.4225,4.71229,0.107145,-2.39694
0.6,5,-0.344429,3.89284,5.34443,3.99034,8.30861,0.209052,-4.52732,7.3094,1.71398,4.05526,5.59542,4.20235,8.69727,0.218559,-4.71348,3,0.71359,1.67073,2.28641,1.70068,3.55492,0.0895168,-1.94376,3.8453,0.914655,2.14149,2.93064,2.17988,4.55658,0.11474,-2.49144,7,3.18932,2.78456,3.81068,2.83447,5.92487,0.149195,-3.23959,3.8453,0.914655,2.14149,2.93064,2.17988,4.55658,0.11474,-2.49144
0.65,5,-0.144939,3.9898,5.14494,3.56765,8.01664,0.222413,-4.67141,7.3094,1.9219,4.15836,5.3875,3.75937,8.39313,0.232548,-4.86631,3,0.79918,1.7118,2.20082,1.51997,3.42962,0.0952328,-2.00488,3.8453,1.02436,2.19413,2.82094,1.94824,4.39597,0.122066,-2.56979,7,3.33197,2.853,3.66803,2.53328,5.71603,0.158721,-3.34147,3.8453,1.02436,2.19413,2.82094,1.94824,4.39597,0.122066,-2.56979
0.7,5,0.0583153,4.06508,4.94168,3.16493,7.71741,0.235276,-4.78776,7.3094,2.13384,4.23872,5.17557,3.33723,8.08125,0.246017,-4.99004,3,0.88636,1.7436,2.11364,1.34781,3.30123,0.100735,-2.05416,3.8453,1.13611,2.23489,2.70919,1.72757,4.23141,0.129119,-2.63295,7,3.47727,2.90601,3.52273,2.24635,5.50205,0.167891,-3.4236,3.8453,1.13611,2.23489,2.70919,1.72757,4.23141,0.129119,-2.63295
0.75,5,0.26432,4.1201,4.73568,2.78206,7.41253,0.24763,-4.8781,7.3094,2.34873,4.2978,4.96068,2.93584,7.76335,0.258956,-5.08646,3,0.974698,1.76676,2.0253,1.18415,3.17046,0.106019,-2.09233,3.8453,1.24933,2.26457,2.59596,1.51781,4.06379,0.135892,-2.68187,7,3.6245,2.94459,3.3755,1.97359,5.2841,0.176698,-3.48721,3.8453,1.24933,2.26457,2.59596,1.51781,4.06379,0.135892,-2.68187
0.8,5,0.472132,4.15622,4.52787,2.41887,7.10352,0.259469,-4.94412,7.3094,2.56558,4.33704,4.74382,2.55501,7.44101,0.271357,-5.15736,3,1.06379,1.78184,1.93621,1.02893,3.03795,0.111082,-2.12011,3.8453,1.36353,2.2839,2.48177,1.31885,3.89395,0.142381,-2.71748,7,3.77298,2.96973,3.22702,1.71488,5.06326,0.185137,-3.53351,3.8453,1.36353,2.2839,2.48177,1.31885,3.89395,0.142381,-2.71748
0.85,5,0.680871,4.17478,4.31913,2.07512,6.7918,0.270789,-4.98747,7.3094,2.78347,4.35783,4.52593,2.1945,7.11574,0.283217,-5.20445,3,1.15326,1.78942,1.84674,0.882032,2.90432,0.115923,-2.13821,3.8453,1.47821,2.29362,2.36709,1.13056,3.72265,0.148586,-2.74068,7,3.9221,2.98237,3.0779,1.47005,4.84053,0.193205,-3.56368,3.8453,1.47821,2.29362,2.36709,1.13056,3.72265,0.148586,-2.74068
0.9,5,0.889724,4.17706,4.11028,1.75054,6.47869,0.281586,-5.00974,7.3094,3.00155,4.36152,4.30786,1.85403,6.7889,0.294532,-5.2294,3,1.24276,1.79006,1.75724,0.743343,2.77011,0.12054,-2.14731,3.8453,1.59293,2.29443,2.25237,0.952792,3.55063,0.154504,-2.75234,7,4.07127,2.98343,2.92873,1.23891,4.61685,0.200899,-3.57884,3.8453,1.59293,2.29443,2.25237,0.952792,3.55063,0.154504,-2.75234
0.95,5,1.09794,4.16432,3.90206,1.4448,6.16541,0.291862,-5.01247,7.3094,3.21902,4.34942,4.09038,1.53326,6.46178,0.305301,-5.23383,3,1.33198,1.78428,1.66802,0.612719,2.63585,0.124933,-2.14807,3.8453,1.70728,2.28703,2.13802,0.785363,3.37855,0.160135,-2.75332,7,4.21996,2.9738,2.78004,1.0212,4.39309,0.208221,-3.58011,3.8453,1.70728,2.28703,2.13802,0.785363,3.37855,0.160135,-2.75332
