Time,TargetX,CurrentX,VelocityX,ErrorX,PID_OutX
5.1,-5,8.13365,-1.01736,-13.1337,-10
5.15,-5,8.05855,-1.50219,-13.0585,-10
5.2,-5,7.95944,-1.98217,-12.9594,-10
5.25,-5,7.83657,-2.45734,-12.8366,-10
5.3,-5,7.69018,-2.92777,-12.6902,-10
5.35,-5,7.52051,-3.39349,-12.5205,-10
5.4,-5,7.32778,-3.85456,-12.3278,-10
5.45,-5,7.11223,-4.31101,-12.1122,-10
5.5,-5,6.87408,-4.7629,-11.8741,-10
5.55,-5,6.61357,-5.21027,-11.6136,-10
5.6,-5,6.33091,-5.65317,-11.3309,-10
5.65,-5,6.02633,-6.09164,-11.0263,-10
5.7,-5,5.70004,-6.52572,-10.7,-10
5.75,-5,5.35227,-6.95547,-10.3523,-10
5.8,-5,4.98322,-7.38091,-9.98322,-10
5.85,-5,4.59312,-7.8021,-9.59312,-10
5.9,-5,4.18216,-8.21908,-9.18216,-10
5.95,-5,3.75057,-8.63189,-8.75057,-10
6,-5,3.29854,-9.04057,-8.29854,-10
6.05,-5,2.82628,-9.44517,-7.82628,-10
6.1,-5,2.334,-9.84571,-7.334,-10
6.15,-5,1.82189,-10.2423,-6.82189,-10
6.2,-5,1.29146,-10.6086,-6.29146,-9.46905
6.25,-5,0.745899,-10.9112,-5.7459,-8.2565
6.3,-5,0.188366,-11.1507,-5.18837,-7.04281
6.35,-5,-0.378031,-11.3279,-4.62197,-5.83393
6.4,-5,-0.950238,-11.4441,-4.04976,-4.63561
6.45,-5,-1.52527,-11.5006,-3.47473,-3.45335
6.5,-5,-2.10022,-11.4991,-2.89978,-2.29242
6.55,-5,-2.67229,-11.4414,-2.32771,-1.15777
6.6,-5,-3.23878,-11.3297,-1.76122,-0.0541087
6.65,-5,-3.79709,-11.1662,-1.20291,1.01419
6.7,-5,-4.34476,-10.9534,-0.655243,2.04304
6.75,-5,-4.87945,-10.6939,-0.120547,3.02871
6.8,-5,-5.39898,-10.3906,0.398983,3.96777
6.85,-5,-5.9013,-10.0463,0.901295,4.85715
6.9,-5,-6.38449,-9.66393,1.38449,5.69411
6.95,-5,-6.84683,-9.24672,1.84683,6.47627
7,-5,-7.28672,-8.79777,2.28672,7.20157
7.05,-5,-7.70273,-8.32031,2.70273,7.86831
7.1,-5,-8.09361,-7.81759,3.09361,8.47512
7.15,-5,-8.45826,-7.29288,3.45826,9.02099
7.2,-5,-8.79573,-6.74944,3.79573,9.50521
7.25,-5,-9.10525,-6.19054,4.10525,9.92741
7.3,-5,-9.38694,-5.63363,4.38694,10
7.35,-5,-9.64105,-5.0823,4.64105,10
7.4,-5,-9.86787,-4.53647,4.86787,10
7.45,-5,-10.0677,-3.99611,5.06768,10
7.5,-5,-10.2407,-3.46115,5.24074,10
7.55,-5,-10.3873,-2.93154,5.38731,10
7.6,-5,-10.5077,-2.40722,5.50768,10
7.65,-5,-10.6021,-1.88815,5.60208,10
7.7,-5,-10.6708,-1.37427,5.6708,10
7.75,-5,-10.7141,-0.865525,5.71407,10
7.8,-5,-10.7322,-0.36187,5.73217,10
7.85,-5,-10.7253,0.136749,5.72533,10
7.9,-5,-10.6938,0.630381,5.69381,10
7.95,-5,-10.6379,1.11908,5.63786,10
8,-5,-10.5577,1.60289,5.55771,10
8.05,-5,-10.4544,2.0669,5.45437,9.69791
8.1,-5,-10.3291,2.50592,5.32907,9.28648
8.15,-5,-10.1831,2.91859,5.18314,8.84303
8.2,-5,-10.018,3.30375,5.01795,8.37075
8.25,-5,-9.83493,3.66042,4.83493,7.87288
8.3,-5,-9.63554,3.98778,4.63554,7.35268
8.35,-5,-9.42129,4.28516,4.42129,6.8134
8.4,-5,-9.19368,4.5521,4.19368,6.2583
8.45,-5,-8.95427,4.78826,3.95427,5.69059
8.5,-5,-8.70459,4.99349,3.70459,5.11346
8.55,-5,-8.4462,5.16779,3.4462,4.53001
8.6,-5,-8.18064,5.31131,3.18064,3.94331
8.65,-5,-7.90942,5.42434,2.90942,3.35633
8.7,-5,-7.63406,5.5073,2.63406,2.77193
8.75,-5,-7.35602,5.56078,2.35602,2.19289
8.8,-5,-7.07674,5.58545,2.07674,1.62185
8.85,-5,-6.79764,5.58213,1.79764,1.06135
8.9,-5,-6.52005,5.55175,1.52005,0.513786
8.95,-5,-6.24528,5.49531,1.24528,-0.0185939
9,-5,-5.97459,5.41394,0.974588,-0.533679
9.05,-5,-5.70915,5.30884,0.709146,-1.02951
9.1,-5,-5.45008,5.18129,0.450082,-1.5043
9.15,-5,-5.19845,5.03263,0.19845,-1.95641
9.2,-5,-4.95524,4.86428,-0.0447639,-2.38435
9.25,-5,-4.72135,4.67769,-0.278648,-2.78682
9.3,-5,-4.49763,4.47436,-0.502366,-3.16269
9.35,-5,-4.28484,4.25582,-0.715157,-3.51097
9.4,-5,-4.08366,4.02364,-0.916339,-3.83086
9.45,-5,-3.89469,3.77937,-1.10531,-4.12172
9.5,-5,-3.71846,3.52462,-1.28154,-4.38305
9.55,-5,-3.55541,3.26095,-1.44459,-4.61454
9.6,-5,-3.40592,2.98995,-1.59408,-4.81603
9.65,-5,-3.27026,2.71317,-1.72974,-4.98749
9.7,-5,-3.14865,2.43215,-1.85135,-5.12907
9.75,-5,-3.04123,2.1484,-1.95877,-5.24103
9.8,-5,-2.94806,1.86339,-2.05194,-5.32379
9.85,-5,-2.86913,1.57855,-2.13087,-5.37788
9.9,-5,-2.80437,1.29527,-2.19563,-5.40397
9.95,-5,-2.75363,1.01487,-2.24637,-5.40283
